Player;Championship;Balance;ADR;Kast;Rating;Map;Side
Epitacio 'TACO' de Melo;CS Summit 6 North America;2;96.8;88.9%;1.57;Vertigo;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;3;90.0;77.8%;1.45;Vertigo;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-4;32.4;55.6%;0.67;Vertigo;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-3;39.3;77.8%;0.64;Vertigo;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-5;36.8;44.4%;0.53;Vertigo;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-3;93.9;66.7%;0.88;Vertigo;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-2;62.7;66.7%;0.86;Vertigo;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-2;61.4;66.7%;0.76;Vertigo;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-4;56.5;60.0%;0.65;Vertigo;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-8;43.6;66.7%;0.49;Vertigo;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;2;102.4;66.7%;1.31;Inferno;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-3;86.1;60.0%;1.12;Inferno;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-7;57.4;60.0%;0.68;Inferno;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-7;49.5;53.3%;0.58;Inferno;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-7;35.5;46.7%;0.38;Inferno;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;0;112.7;85.7%;1.36;Inferno;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-1;62.3;57.1%;0.88;Inferno;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-1;47.3;71.4%;0.84;Inferno;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-1;62.1;57.1%;0.62;Inferno;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-5;28.0;28.6%;0.22;Inferno;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;2;53.2;70.0%;1.21;Overpass;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;2;84.0;50.0%;1.12;Overpass;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;1;74.2;80.0%;1.06;Overpass;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-1;84.1;50.0%;1.05;Overpass;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-1;50.3;60.0%;0.79;Overpass;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-1;92.7;66.7%;0.98;Overpass;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-5;60.5;60.0%;0.67;Overpass;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-4;68.1;40.0%;0.64;Overpass;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-6;54.1;53.3%;0.51;Overpass;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-7;39.6;46.7%;0.42;Overpass;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;7;94.3;73.3%;1.57;Inferno;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;2;65.1;80.0%;1.19;Inferno;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-1;67.6;66.7%;1.11;Inferno;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-2;69.5;66.7%;0.80;Inferno;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-11;26.7;40.0%;0.35;Inferno;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;5;108.8;84.6%;1.40;Inferno;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;4;79.8;69.2%;1.15;Inferno;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;3;75.7;76.9%;1.14;Inferno;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-1;75.9;76.9%;1.01;Inferno;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;1;64.5;69.2%;0.94;Inferno;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;0;71.6;63.3%;1.02;Overpass;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-6;46.1;66.7%;0.77;Overpass;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-10;65.0;56.7%;0.75;Overpass;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-13;50.7;60.0%;0.70;Overpass;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-10;47.4;46.7%;0.67;Overpass;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;17;86.7;82.8%;1.54;Overpass;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;13;102.9;89.7%;1.47;Overpass;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;5;87.8;82.8%;1.20;Overpass;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-1;92.9;72.4%;1.02;Overpass;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;1;61.7;75.9%;0.93;Overpass;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;2;106.1;80.0%;1.54;Dust 2;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-5;71.2;53.3%;0.79;Dust 2;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-6;44.5;40.0%;0.71;Dust 2;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-5;45.3;46.7%;0.56;Dust 2;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-7;28.4;46.7%;0.43;Dust 2;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;4;93.3;85.7%;1.44;Dust 2;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-3;79.4;57.1%;0.81;Dust 2;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-2;44.3;85.7%;0.76;Dust 2;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-3;29.0;57.1%;0.55;Dust 2;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-2;49.4;42.9%;0.54;Dust 2;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;5;101.1;73.3%;1.41;Mirage;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;1;76.2;73.3%;1.11;Mirage;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-4;61.5;73.3%;0.97;Mirage;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-2;47.8;73.3%;0.87;Mirage;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-3;69.7;60.0%;0.79;Mirage;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;2;99.9;85.7%;1.42;Mirage;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;6;89.0;71.4%;1.37;Mirage;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;6;78.9;78.6%;1.32;Mirage;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-2;58.1;71.4%;0.82;Mirage;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-1;74.1;64.3%;0.81;Mirage;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;7;89.3;81.8%;1.62;Inferno;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;2;89.5;81.8%;1.33;Inferno;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;2;80.9;63.6%;1.23;Inferno;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;0;53.2;72.7%;0.86;Inferno;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-4;43.7;72.7%;0.80;Inferno;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;11;121.5;93.3%;1.81;Inferno;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;6;101.0;80.0%;1.40;Inferno;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;3;86.6;73.3%;1.26;Inferno;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;3;72.3;86.7%;1.00;Inferno;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-2;61.7;80.0%;0.95;Inferno;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;4;73.3;73.3%;1.38;Train;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-1;76.3;60.0%;1.05;Train;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-4;49.6;73.3%;0.90;Train;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-3;66.1;53.3%;0.83;Train;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-4;59.2;60.0%;0.81;Train;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;10;128.6;69.2%;1.92;Train;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;8;101.0;92.3%;1.63;Train;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;2;55.7;76.9%;0.98;Train;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-6;58.7;38.5%;0.61;Train;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-5;33.0;61.5%;0.50;Train;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;7;106.9;73.3%;1.59;Dust 2;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;5;88.1;80.0%;1.50;Dust 2;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;5;91.8;73.3%;1.45;Dust 2;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;1;48.3;86.7%;1.23;Dust 2;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-4;44.9;80.0%;0.94;Dust 2;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;6;202.0;100.0%;2.77;Dust 2;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;6;158.2;100.0%;2.36;Dust 2;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;1;66.6;80.0%;1.22;Dust 2;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;1;36.2;100.0%;1.07;Dust 2;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;0;37.0;80.0%;0.87;Dust 2;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;6;128.4;100.0%;2.30;Mirage;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;1;89.2;100.0%;1.63;Mirage;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-1;89.2;80.0%;1.28;Mirage;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;1;51.4;80.0%;1.13;Mirage;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;1;82.2;40.0%;1.06;Mirage;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;15;137.3;86.7%;2.25;Mirage;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;3;104.5;93.3%;1.42;Mirage;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;8;72.1;93.3%;1.39;Mirage;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;4;83.0;86.7%;1.30;Mirage;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;5;72.0;73.3%;1.19;Mirage;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;5;116.9;100.0%;2.16;Overpass;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-2;52.1;71.4%;0.92;Overpass;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;0;60.6;42.9%;0.84;Overpass;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-1;44.6;71.4%;0.74;Overpass;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-4;41.9;71.4%;0.60;Overpass;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-2;79.2;60.0%;0.88;Overpass;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-3;77.9;66.7%;0.83;Overpass;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-2;60.4;53.3%;0.80;Overpass;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-3;53.7;73.3%;0.76;Overpass;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-4;58.2;73.3%;0.74;Overpass;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;4;108.5;93.3%;1.70;Dust 2;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;4;98.6;86.7%;1.63;Dust 2;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;5;72.3;86.7%;1.36;Dust 2;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;0;58.2;73.3%;1.13;Dust 2;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-2;66.9;66.7%;0.99;Dust 2;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;6;119.6;100.0%;1.83;Dust 2;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;6;112.0;88.9%;1.77;Dust 2;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;4;87.3;88.9%;1.33;Dust 2;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;5;67.7;88.9%;1.28;Dust 2;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-2;81.2;88.9%;1.11;Dust 2;Counter Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;5;93.9;83.3%;1.71;Inferno;Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;8;75.7;83.3%;1.64;Inferno;Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;3;82.5;72.2%;1.37;Inferno;Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;0;88.0;61.1%;1.10;Inferno;Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;1;64.6;72.2%;1.07;Inferno;Terrorist
Vito 'kNgV-' Giuseppe;CS Summit 6 North America;-1;74.8;55.6%;0.93;Inferno;Counter Terrorist
Gabriel 'FalleN' Toledo;CS Summit 6 North America;-2;63.7;66.7%;0.79;Inferno;Counter Terrorist
Alencar 'trk' Rossato;CS Summit 6 North America;-3;70.4;55.6%;0.79;Inferno;Counter Terrorist
Epitacio 'TACO' de Melo;CS Summit 6 North America;-8;65.0;61.1%;0.60;Inferno;Counter Terrorist
Fernando 'fer' Alvarenga;CS Summit 6 North America;-8;66.1;66.7%;0.57;Inferno;Counter Terrorist
